,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories__alias,categories__title,rating,location__address1,location__city,location__zip_code,location__country,location__state,location__cross_streets,coordinates__latitude,coordinates__longitude,photos__001,photos__002,photos__003,price,hours__open__is_overnight,hours__open__start,hours__open__end,hours__open__day,hours__hours_type,hours__is_open_now
86,tsiC3VpO-hZEb98Qk3p-DQ,amy-ruths-new-york,Amy Ruth's,https://s3-media2.fl.yelpcdn.com/bphoto/aX-TMDOSS2vO-0L47FoZ0Q/o.jpg,True,False,https://www.yelp.com/biz/amy-ruths-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12122808779.0,(212) 280-8779,2292.0,southern,Southern,4.0,113 W 116th St,New York,10026.0,US,NY,7th Ave & St Nicholas Ave,40.802466318157,-73.950421812439,https://s3-media2.fl.yelpcdn.com/bphoto/aX-TMDOSS2vO-0L47FoZ0Q/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/dvR7rn772fXsi5O_CeQ6vw/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/W2lvxV5m5x7T2BqD6_33lw/o.jpg,$$,False,1100.0,2300.0,0.0,REGULAR,True
93,I2lgw_7DUnwD92ND4PN-Ow,aunt-jakes-new-york,Aunt Jake's,https://s3-media2.fl.yelpcdn.com/bphoto/hMhn_lnES3QWc4Gtihvr0A/o.jpg,True,False,https://www.yelp.com/biz/aunt-jakes-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,16468580470.0,(646) 858-0470,893.0,italian,Italian,4.0,149 Mulberry St,New York,10013.0,US,NY,Hester St & Grand St,40.7190315,-73.99771609999999,https://s3-media2.fl.yelpcdn.com/bphoto/hMhn_lnES3QWc4Gtihvr0A/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/0j-WiJpgj8hJio8ChrIAkQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/_Z3XnXOUkUbyNlLUb4hJBg/o.jpg,$$,False,1100.0,2300.0,0.0,REGULAR,True
100,GxMhN2PEttvw7CRGIzB6Gg,barons-brooklyn,Baron's,https://s3-media2.fl.yelpcdn.com/bphoto/oGiUuxyQ1Ju_tzls6CDApQ/o.jpg,True,False,https://www.yelp.com/biz/barons-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17182307100.0,(718) 230-7100,207.0,newamerican,American (New),4.5,564 Dekalb Ave,Brooklyn,11205.0,US,NY,Walworth St & Spencer St,40.6908116,-73.95391500000001,https://s3-media2.fl.yelpcdn.com/bphoto/oGiUuxyQ1Ju_tzls6CDApQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/9jwGrsWS0742YsYJTQde_g/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/I-a8EWlOyf5IlmTJWR74fg/o.jpg,$$,False,1700.0,2300.0,0.0,REGULAR,False
107,Ei5qjq0qmfNLkdVoO-S5Tw,raffettos-new-york-2,Raffetto's,https://s3-media2.fl.yelpcdn.com/bphoto/RAsafU7Ya3Mh8OsUYcRv4w/o.jpg,True,False,https://www.yelp.com/biz/raffettos-new-york-2?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12127771261.0,(212) 777-1261,212.0,gourmet,Specialty Food,4.5,144 W Houston St,New York,10012.0,US,NY,Sullivan St & Mac Dougal St,40.728159999999995,-74.00171999999999,https://s3-media2.fl.yelpcdn.com/bphoto/RAsafU7Ya3Mh8OsUYcRv4w/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/38njXkebZvBqAKe0ae3hlw/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/MADiYfo6Aq42wNVHo6LCxQ/o.jpg,$,False,900.0,1830.0,1.0,REGULAR,True
112,rU9cKxAVU4Gd_JhAqp_bTA,buttermilk-channel-brooklyn,Buttermilk Channel,https://s3-media3.fl.yelpcdn.com/bphoto/wa8Wz_nTnZ13jfhrteKNMA/o.jpg,True,False,https://www.yelp.com/biz/buttermilk-channel-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17188528490.0,(718) 852-8490,1762.0,newamerican,American (New),4.0,524 Court St,Brooklyn,11231.0,US,NY,Garnet St & Huntington St,40.675919,-73.999059,https://s3-media3.fl.yelpcdn.com/bphoto/wa8Wz_nTnZ13jfhrteKNMA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/61-SlAWvGO4U8W6KZaCjSw/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/jzrMIBQ6Vez2YioD-Ltxgg/o.jpg,$$,False,1130.0,1500.0,0.0,REGULAR,False
126,X8ZS-dgiMIJvhwf9SaDnjw,wah-fung-no-1-fast-food-new-york-3,Wah Fung No 1 Fast Food,https://s3-media3.fl.yelpcdn.com/bphoto/y90HXuKlFmHl42ZNrL8q1A/o.jpg,False,False,https://www.yelp.com/biz/wah-fung-no-1-fast-food-new-york-3?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12129255175.0,(212) 925-5175,1046.0,chinese,Chinese,4.5,79 Chrystie St,New York,10002.0,US,NY,Canal St & Hester St,40.71735,-73.99457,https://s3-media3.fl.yelpcdn.com/bphoto/y90HXuKlFmHl42ZNrL8q1A/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/G5K4zs6XDVvsn4FE-iiaMQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/f2s-CDFq46Dw5Fr4xn4Kqg/o.jpg,$,False,900.0,1900.0,1.0,REGULAR,True
132,-134ZvJ4lgiqx-sjRBWQ9g,totto-ramen-new-york-12,Totto Ramen,https://s3-media1.fl.yelpcdn.com/bphoto/76YnX4a-JpqI2IF9613K_A/o.jpg,True,False,https://www.yelp.com/biz/totto-ramen-new-york-12?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12125820052.0,(212) 582-0052,4987.0,ramen,Ramen,4.0,366 W 52nd St,New York,10019.0,US,NY,9th Ave & 8th Ave,40.7643285462369,-73.9876558773155,https://s3-media1.fl.yelpcdn.com/bphoto/76YnX4a-JpqI2IF9613K_A/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/sdoF2oq2KQto7jxepSrUHw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Y8osWRRtc_X1mqAXkvIFKA/o.jpg,$$,False,1200.0,1630.0,0.0,REGULAR,True
145,hmdm-dO72hLsMQwQRcGEUQ,atrium-dumbo-brooklyn,Atrium Dumbo,https://s3-media2.fl.yelpcdn.com/bphoto/c2WcQ11DrWaj2hX8slTCdw/o.jpg,True,False,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17188581095.0,(718) 858-1095,565.0,newamerican,American (New),4.0,15 Main St,Brooklyn,11201.0,US,NY,Water St & Plymouth St,40.7033899,-73.9904923,https://s3-media2.fl.yelpcdn.com/bphoto/c2WcQ11DrWaj2hX8slTCdw/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/mU-QoVNiSIQZaZApJcbxqA/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/TAog5s7slOJ0778OGRzuWQ/o.jpg,$$,False,1130.0,1430.0,0.0,REGULAR,False
159,vyoA8dxwScuMV_AsTcjQcg,l-and-b-spumoni-gardens-brooklyn,L & B Spumoni Gardens,https://s3-media1.fl.yelpcdn.com/bphoto/4eoLvieoGpta0SXXqhd5HA/o.jpg,True,False,https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17184491230.0,(718) 449-1230,3185.0,pizza,Pizza,4.0,2725 86th St,Brooklyn,11223.0,US,NY,11th St & 10th St,40.594659410461205,-73.9815150338912,https://s3-media1.fl.yelpcdn.com/bphoto/4eoLvieoGpta0SXXqhd5HA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/UCtcZoryGVxpCSQLhOio9Q/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/RryfKq41GnxwCn8mBnjgtQ/o.jpg,$,False,1100.0,0.0,0.0,REGULAR,True
166,bBDzXNM7Y7_8WE2Sm6R_ig,gotham-west-market-new-york,Gotham West Market,https://s3-media1.fl.yelpcdn.com/bphoto/xlmcHx56RBggOkajZXmPOg/o.jpg,True,False,https://www.yelp.com/biz/gotham-west-market-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12125827940.0,(212) 582-7940,510.0,food_court,Food Court,4.0,600 11th Ave,New York,10036.0,US,NY,44th St & 45th St,40.7624395,-73.9971462,https://s3-media1.fl.yelpcdn.com/bphoto/xlmcHx56RBggOkajZXmPOg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/3FaPyU9y8WtCoWMzHjlyxw/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/lrniEesSg9zU6fwhiqRWUQ/o.jpg,$$,False,800.0,2200.0,0.0,REGULAR,True
173,NiFmuqLM-apdMX_jBPVIgw,rabbit-house-new-york,Rabbit House,https://s3-media2.fl.yelpcdn.com/bphoto/EuXzyRAH6gEsO3PTpIYCdQ/o.jpg,True,False,https://www.yelp.com/biz/rabbit-house-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12123434200.0,(212) 343-4200,173.0,tapas,Tapas Bars,4.5,76 Forsyth St,New York,10002.0,US,NY,Canal St & Hester St,40.71725,-73.99329,https://s3-media2.fl.yelpcdn.com/bphoto/EuXzyRAH6gEsO3PTpIYCdQ/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/L63OyAAUz-dl-VI1sdNEfg/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/FTLf89pMqLRGbGBx-EGlow/o.jpg,$$,False,1730.0,2300.0,1.0,REGULAR,False
181,tiSw-6DIm3-mMORyEIOVyg,the-boil-new-york-3,The Boil,https://s3-media4.fl.yelpcdn.com/bphoto/sKmNzP8Fu24JmuZKh9xNUw/o.jpg,True,False,https://www.yelp.com/biz/the-boil-new-york-3?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12129258815.0,(212) 925-8815,1692.0,cajun,Cajun/Creole,4.5,139 Chrystie St,New York,10002.0,US,NY,Broome St & Grand St,40.71974,-73.99339,https://s3-media4.fl.yelpcdn.com/bphoto/sKmNzP8Fu24JmuZKh9xNUw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/hjlVen2edA4TV0JwMoaeUg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/zW-McGcH6GwAlMM5Mn4WkQ/o.jpg,$$,False,1700.0,2300.0,0.0,REGULAR,False
188,zj8Lq1T8KIC5zwFief15jg,prince-street-pizza-new-york-2,Prince Street Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/5cniRPMTUN1vBjbItepu9w/o.jpg,True,False,https://www.yelp.com/biz/prince-street-pizza-new-york-2?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12129664100.0,(212) 966-4100,2208.0,pizza,Pizza,4.5,27 Prince St,New York,10012.0,US,NY,Mott St & Elizabeth St,40.7229087705545,-73.99448633193971,https://s3-media4.fl.yelpcdn.com/bphoto/5cniRPMTUN1vBjbItepu9w/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/B_4dw3bsRdC2shgxT8-NRQ/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/0lk5jgsoaHOzXpBsFBJDrw/o.jpg,$,False,1000.0,2300.0,0.0,REGULAR,True
195,Q9F2ocrmYuGt1yn3M7MOBw,lucali-brooklyn-3,Lucali,https://s3-media2.fl.yelpcdn.com/bphoto/i2YkKbCTBhvvs05pFstjFw/o.jpg,False,False,https://www.yelp.com/biz/lucali-brooklyn-3?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17188584086.0,(718) 858-4086,1214.0,pizza,Pizza,4.5,575 Henry St,Brooklyn,11231.0,US,NY,Carroll St & Summit St,40.6818,-74.00024,https://s3-media1.fl.yelpcdn.com/bphoto/nNZ8Bareup41lIQ4NKTvLg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/i2YkKbCTBhvvs05pFstjFw/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/jdONZFuDlhSA1sMTfROqFw/o.jpg,$$,False,1800.0,2200.0,0.0,REGULAR,False
201,FZYmp5c1VtWNfe635G_wsQ,taste-of-heaven-brooklyn,Taste of Heaven,https://s3-media3.fl.yelpcdn.com/bphoto/uT8_HUP3SUyBBq9Qo3bfJg/o.jpg,True,False,https://www.yelp.com/biz/taste-of-heaven-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17185763146.0,(718) 576-3146,84.0,soulfood,Soul Food,5.0,251 Jackson St,Brooklyn,11211.0,US,NY,Grand Parents Ave & Woodpoint Rd,40.717115,-73.940613,https://s3-media3.fl.yelpcdn.com/bphoto/uT8_HUP3SUyBBq9Qo3bfJg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/bR6Yc9wqGHl5T6z_NQi67Q/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/KO-NNtD5HKZZh2A5_vLXCg/o.jpg,$$,False,1200.0,1900.0,1.0,REGULAR,True
206,Rc1lxc5lSKJYd162JHNMfQ,bea-new-york,Bea,https://s3-media4.fl.yelpcdn.com/bphoto/hFAPke48g0zVB7oBUWA6JA/o.jpg,True,False,https://www.yelp.com/biz/bea-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12126021910.0,(212) 602-1910,2003.0,newamerican,American (New),4.0,403 W 43rd St,New York,10036.0,US,NY,10th Ave & 9th Ave,40.7591968,-73.99233609999999,https://s3-media4.fl.yelpcdn.com/bphoto/hFAPke48g0zVB7oBUWA6JA/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/LOh20c-w-rngYiYTHfNGuA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/uWhEFCYjWz9e4awEY16-sA/o.jpg,$$,True,1700.0,200.0,0.0,REGULAR,False
215,nU4XBdvxDABXqZ6CnB8Dig,clinton-street-baking-company-new-york-5,Clinton Street Baking Company,https://s3-media3.fl.yelpcdn.com/bphoto/1CTyUp3Fz_svoqmvi7hwAw/o.jpg,True,False,https://www.yelp.com/biz/clinton-street-baking-company-new-york-5?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,16466026263.0,(646) 602-6263,4343.0,bakeries,Bakeries,4.0,4 Clinton St,New York,10002.0,US,NY,Avenue B & Houston St,40.721128,-73.983933,https://s3-media3.fl.yelpcdn.com/bphoto/1CTyUp3Fz_svoqmvi7hwAw/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/_NdA8fDnsPM3rNAjN1JEMg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/2elEx2EDVe1elBrcgN3RbQ/o.jpg,$$,False,800.0,1600.0,0.0,REGULAR,True
