"results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__price_level","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__types__004","status"
"1234 5th Ave, New York, NY 10029, USA","40.7930688","-73.95150009999999","northeast","40.79449762989272","-73.95033902010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","2b3ce59ed50aa3bd779a97745fe6a353c337dff6","New York City Department of Parks and Recreation","False","2576","<a href=""https://maps.google.com/maps/contrib/117654382772749761095/photos"">A Google User</a>","CmRaAAAA0koPx6izR5YByTqkhRnqdadNQ6Jc_mGm6KI5SkbZN5giJkmBfnV_HJ1j6B1ishiINLKFyfUnVtvftpsVOG1glBGMwexbRGsZMvL0Aoptu9_C2dWlS66PSkp45V8U3lAPEhA-WE4iGRViaZNZxgaf33PuGhS-MdTUOIM_fZ5XGduvIes3kuT4YQ","1932","ChIJixKvYBz2wokRTl_OIWH09SM","Q2VX+69 New York","87G8Q2VX+69","","4.7","ChIJixKvYBz2wokRTl_OIWH09SM","park","point_of_interest","establishment","",""
"","","","southwest","40.79179797010728","-73.95303867989273","","","","","","","","","","","","","","","","","","",""
"New York, NY 10018, USA","40.7535965","-73.98323259999999","northeast","40.755549","-73.98135400000001","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","f450a4290a3af961748f0eb93931479d2898e990","Bryant Park","True","4000","<a href=""https://maps.google.com/maps/contrib/110405225727677689801/photos"">Robert Lam</a>","CmRaAAAA5YcyI-k4pKeRLGEXK4cGDsktrvL0EBN7j1mdnQ-sePYpv2LHQgWacedfTzza8Aw6UEGjO3go8IlogLmPOjmKFCDp1harjtVFnc8fE-JggKfYiyGNht3Z7TBYB4EDv6Q_EhBUn0ZA0vMG76V_a-Q0ufSXGhSwzPihAWY8sfazIwtwN0bkYyyRxg","6000","ChIJvbGg56pZwokRp_E3JbivnLQ","Q238+CP New York","87G8Q238+CP","","4.7","ChIJvbGg56pZwokRp_E3JbivnLQ","park","point_of_interest","establishment","",""
"","","","southwest","40.75198299999999","-73.9857532","","","","","","","","","","","","","","","","","","",""
"St Nicholas Ave &, St Nicholas Terrace, New York, NY 10030, United States","40.8174689","-73.94874759999999","northeast","40.82600664999999","-73.94354555000001","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","41a3ce5dbf2b934e1d7e9d9d4458e419adffba59","St. Nicholas Park","True","3036","<a href=""https://maps.google.com/maps/contrib/109311969109076783178/photos"">Bryan Goff</a>","CmRaAAAAjf98alDUj5Jzwf85-aTLA8l3vN3MxcopXF9MwpjNV7wvDqyeYZhJV5AL-Ozh1g0FLFFiA0B5D0NWF6LLJ8fZ_L2VP7mtFxMAA-RhpIqzEphuQyzevjbUZuwYXU9E0O5GEhDCWSIoAz7H3DGBlABHbwEhGhQKq6_JVR8xKZZRsqTmZ5MnhDT0nw","4048","ChIJ0zHAy2_2wokROHSUG_3UnEw","R382+XG New York","87G8R382+XG","","4.2","ChIJ0zHAy2_2wokROHSUG_3UnEw","park","point_of_interest","establishment","",""
"","","","southwest","40.80867445","-73.95438855","","","","","","","","","","","","","","","","","","",""
"Washington Park St, Brooklyn, NY 11205, USA","40.691396","-73.97494399999999","northeast","40.6953107","-73.97096090000001","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","d5f29c70ef69a83f8317ade5179a095f99d51367","Fort Greene Park","True","1836","<a href=""https://maps.google.com/maps/contrib/114817594720939417041/photos"">Laura Harreld</a>","CmRaAAAA7JVTeTWe-6KfiiZHS0B2PX8miZo6VFNm6g9Hzc7Gr2lkl9JqE486Ttkb4YsIlMPlM4mxA6oUs_lqCeBv7tG6IfGtMbYjG6PEolRtJXkSpWUDJNh2NIuhfsnyuPnN8QXEEhCDycn-Ggr9QG7-UE2V2TZBGhQUtnRqNTUSigSWoGsQDDmgu-WuLw","3264","ChIJvf6v7bZbwokRUO0-u24i73g","M2RG+H2 New York","87G8M2RG+H2","","4.5","ChIJvf6v7bZbwokRUO0-u24i73g","park","point_of_interest","establishment","",""
"","","","southwest","40.68774669999999","-73.9797981","","","","","","","","","","","","","","","","","","",""
"Morningside Dr, New York, NY 10026, USA","40.8060712","-73.9585391","northeast","40.81508575000001","-73.9534209","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","a03301735a74559b4f20596225e6d4154a8e0209","Morningside Park","True","3024","<a href=""https://maps.google.com/maps/contrib/112067583421985653016/photos"">Taras Tsugrii</a>","CmRaAAAA9dwpm8uos3n6ijOCwsK7gbTNSxOjS2nrDlhOFoin3Gi69E8cD-5omNdCv2JsJmb5LqqPe7c8j-0LYplU_BFkw8EsEAHW51V5e5daLZlWjNjwsAg7KfdEos8sUgc8_EHXEhDaeYdl2HAtVVX0GgMKgHNXGhR3Cj7SeC8tczaFrAMjgMmQxGrmhw","4032","ChIJPTmIHRX2wokR9QxLoOD3rRc","R24R+CH New York","87G8R24R+CH","","4.4","ChIJPTmIHRX2wokR9QxLoOD3rRc","park","point_of_interest","establishment","",""
"","","","southwest","40.79677434999999","-73.9621245","","","","","","","","","","","","","","","","","","",""
"Columbus Ave &, W 66th St, New York, NY 10023, United States","40.7735874","-73.98201709999999","northeast","40.77501652989272","-73.98060632010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","fb97674bcfbba716dafc2525c234a5390448d059","Richard Tucker Park","True","2700","<a href=""https://maps.google.com/maps/contrib/100326781055317990176/photos"">A Google User</a>","CmRaAAAAqry8MuqXPHCRaDdNMourPVNYyRYlxQDZOoe4dgf6ZHO88Y0-jj2E6V2GNhkXxe9nBdRCRAf5iD_Y6eUuWGEqxedwoSeU9-t7XC_VjAsAiioO8RoGM-OZ0BQpX3R8yoEKEhDd1YBMiHfOkPDEx08Xsix9GhRnYHEwVNi8US4TCoaBYofQ7JD3ZQ","1800","ChIJwxkbavVYwokRxNHJxnWpGkk","Q2F9+C5 New York","87G8Q2F9+C5","","4.1","ChIJwxkbavVYwokRxNHJxnWpGkk","park","point_of_interest","establishment","",""
"","","","southwest","40.77231687010728","-73.98330597989272","","","","","","","","","","","","","","","","","","",""
"FDR Dr., New York, NY 10021, USA","40.7693053","-73.9493916","northeast","40.77065512989272","-73.94804177010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","e2cf2f3aada004522f008ebdf078192f93f4d0e8","John Jay Park","True","3072","<a href=""https://maps.google.com/maps/contrib/103237729589375373179/photos"">Sebastian Sinisterra</a>","CmRaAAAAm7oOWP2DK1g1COBqZ7sOOMuaX9JoDNg0UqS1S2FGbx4bDJ_cgMnlsJ2KEre7GnyH1Evs2QLBVz4MthiRV3KQeuE7-jY06RqGNjIK6YH48i31zJfGMwq2DajfgesJskPgEhDrORJuBRYDAl3hT3LyvDm5GhSYVq9FpIbKifwHOzRnKj292u18ZQ","4096","ChIJEQ6kk8dYwokRVW7W8Xj-lqw","Q392+P6 New York","87G8Q392+P6","","4.5","ChIJEQ6kk8dYwokRVW7W8Xj-lqw","park","point_of_interest","establishment","",""
"","","","southwest","40.76795547010728","-73.95074142989273","","","","","","","","","","","","","","","","","","",""
"217 E 51st St, New York, NY 10022, USA","40.7562441","-73.96928819999999","northeast","40.75750937989272","-73.96800062010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","b2446e6c54413a661d9599177c41fa85e34264b4","Greenacre Park","","3024","<a href=""https://maps.google.com/maps/contrib/104985469530280115768/photos"">Ane Castro</a>","CmRaAAAAjDsljkcIAGbtsdSRUk3FMgVTfRVv_t8GH-yf4MVez0Vqto_V0p3-b5tmJn-E7wjcIXODDkMkayjGbkDq_IEvDTxqxUElWdcSXvFHoAxqhttiZbIl1AXUli0sPMZ-4qzVEhB2_R-0OeB-3UBNNITkD33PGhRAHu-TWfvheaJs_pmcXrkqp_ul2w","4032","ChIJGaiaEONYwokR68EFhU8zSNc","Q24J+F7 New York","87G8Q24J+F7","","4.8","ChIJGaiaEONYwokR68EFhU8zSNc","park","point_of_interest","establishment","",""
"","","","southwest","40.75480972010727","-73.97070027989271","","","","","","","","","","","","","","","","","","",""
"Hudson River Greenway, New York, NY 10014, USA","40.7382067","-74.01070469999999","northeast","40.73957157989273","-74.00911432010727","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","2b627fef9d8b18e1fb811c02fdcb117cbf3e4261","Pier 51 at Hudson River Park","False","3024","<a href=""https://maps.google.com/maps/contrib/109305801992046122476/photos"">JJ Gao</a>","CmRaAAAAIgt6tvXXFbP5zeWCMMvr2HpdiVpf5xOu5-r7IZvm3NB_zXDjXKD3Uh5aMHc6XdCUuo6g6L1vv4Z5lz66O9UMGviElKTFSP7iXwUhWQUgyAp0EmmX2tqqfN8egJbs19ZxEhAoi2aFZeuFhpvWX4cb9WcDGhSt_BdhpNRdqNJKoQk0i3ZY8D_mrQ","4032","ChIJNUwaa-pZwokRh_DHYDHBWkc","PXQQ+7P New York","87G7PXQQ+7P","","4.6","ChIJNUwaa-pZwokRh_DHYDHBWkc","park","point_of_interest","establishment","",""
"","","","southwest","40.73687192010728","-74.01181397989272","","","","","","","","","","","","","","","","","","",""
"1 Eton Pl, Staten Island, NY 10314, USA","40.6005621","-74.15811289999999","northeast","40.60191192989272","-74.15676307010726","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","2222492d8bdd319f80360a8c36a6ebef867eb82f","Willowbrook Park","True","3096","<a href=""https://maps.google.com/maps/contrib/104378500734642981483/photos"">Gilberto Ramirez</a>","CmRaAAAAGKfA1VeKYfELrDYDquypaDynzcQI2cuWWK_LIUap3AaAnA2tDBEkT0B9-cBFppTNMocowqIbyduoncQqOCQnrPhds3TewLSSwWaqESQ7VobApm6WVHz2mFr4LOUDh7uVEhBjYTSbuQbcutlYFfP9G6MnGhRXxf1ljRP8RAhGOFtTFvjuOrRSVA","4128","ChIJjd5CmEJMwokR3q_qsj1h3Dk","JR2R+6Q New York","87G7JR2R+6Q","","4.4","ChIJjd5CmEJMwokR3q_qsj1h3Dk","park","point_of_interest","establishment","",""
"","","","southwest","40.59921227010728","-74.15946272989271","","","","","","","","","","","","","","","","","","",""
"301 W Tremont Ave, Bronx, NY 10453, USA","40.8539353","-73.92113850000001","northeast","40.85521627989272","-73.91959917010729","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","d7c9aa602085ee456a70083faf069ea750d8d264","Roberto Clemente State Park","False","2268","<a href=""https://maps.google.com/maps/contrib/110729804012434852326/photos"">Anne Haine</a>","CmRaAAAAIcTzuMomrCX65mKtm5_DIt5_4bkOMCov5TyvwiyOFJ4yqyy5P3_0j5pFfaRjs_-xQ4TvhVpsUrNAUclvVN2QoLxu2g3rDjArG1N-yPZT3v73gnAnzKt7CO45R7tKBZuaEhCTJDQAOTacbnze2mPiMNTFGhQKUbY1FeVSKYI7wh33w1xl4TTFZQ","4032","ChIJp4cnbw70wokRu6e-fPdL-Vo","V33H+HG New York","87G8V33H+HG","","4.3","ChIJp4cnbw70wokRu6e-fPdL-Vo","park","point_of_interest","establishment","",""
"","","","southwest","40.85251662010727","-73.92229882989272","","","","","","","","","","","","","","","","","","",""
"Cross Island Pkwy, Whitestone, NY 11357, USA","40.7897211","-73.78896469999999","northeast","40.79107092989272","-73.78761487010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","5ba6d8e4b3c1f24f2ab60466be01f3b1bb2b942d","Little Bay Park","True","2988","<a href=""https://maps.google.com/maps/contrib/100730032094361774211/photos"">silvia velez</a>","CmRaAAAA501u9JqmE0mD3duazaa_pZDYgfjKRyYWzcs_UQMfcOtDn8PfnGh4gp0KaGN9kxVC4IqW4y7sdVUyb6edbqsBD6vq9f-1DCMteMbq9piGJuzK_5LScDV_vwVNWrfyglRsEhBCfHCNiIDzLYffFvrHifl5GhTK4R8Uj_kApZzObXcQGyNcrqBAhQ","5312","ChIJO1DvZlyKwokRCDbATn5FzJA","Q6Q6+VC New York","87G8Q6Q6+VC","","4.5","ChIJO1DvZlyKwokRCDbATn5FzJA","park","point_of_interest","establishment","",""
"","","","southwest","40.78837127010728","-73.79031452989273","","","","","","","","","","","","","","","","","","",""
"95 Prospect Park West, Brooklyn, NY 11215, USA","40.6589927","-73.9644531","northeast","40.66034252989272","-73.96310327010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","201344bfdf4034ebe7cf6b0e7f74ae4cf04e65f5","Concert Grove","True","3024","<a href=""https://maps.google.com/maps/contrib/110673743225998653844/photos"">Charlie McClain</a>","CmRaAAAA0ssFMXozROZU5DZodoW_C3pVFaGwQBpzI9QF89MMuhe94HsUKmJC98orSREI8VZa4WOchcbiaJjfq3TB0jtQ-eBtLzQFN1_Y-8Be4fXSRdDIRukC05Zjg46z9ZF0WrLGEhDrd6bNLmpToGBZbiZiI1sCGhQEhHw883DIE9hBqkZ8vgtKUX8bTw","4032","ChIJWd6m8RNbwokRI-rn2FyfgBM","M25P+H6 New York","87G8M25P+H6","","4.2","ChIJWd6m8RNbwokRI-rn2FyfgBM","park","point_of_interest","establishment","",""
"","","","southwest","40.65764287010727","-73.96580292989272","","","","","","","","","","","","","","","","","","",""
"9, Rutherford Pl, New York, NY 10003, USA","40.73394649999999","-73.9841048","northeast","40.73540112989272","-73.98301877010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","49d06af6f7159ad1bbdeeae87ae1716f8d5f23b6","Stuyvesant Square Park","True","1200","<a href=""https://maps.google.com/maps/contrib/117239724832191084131/photos"">A Google User</a>","CmRaAAAAEL45mB62qL25w5LYWj3YzcCMchkwp6AXRta3S_WCgfFyJkWUShS5YO1WYnW9iZZ7Rf5B5ERz19d14BZo1aWGVI_Nm2QNPAooUER1MD5EGyvrD9KC9vjl4hi9tqDjbKMWEhAGXHg2qUe7ujfY8CbV7TbnGhRC6wT5pK8jukvQft6o-VCCLS4V5w","1800","ChIJH8eOxZ9ZwokR1GxjNrdIyLQ","P2M8+H9 New York","87G8P2M8+H9","","4.4","ChIJH8eOxZ9ZwokR1GxjNrdIyLQ","park","point_of_interest","establishment","",""
"","","","southwest","40.73270147010728","-73.98571842989271","","","","","","","","","","","","","","","","","","",""
"302 Sea Breeze Ave, Brooklyn, NY 11224, USA","40.5751863","-73.9713897","northeast","40.57687362989272","-73.96996122010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","00515f4e9b0bddc8d486da497a845babc6216306","Asser Levy Park","True","3024","<a href=""https://maps.google.com/maps/contrib/100491069154661811403/photos"">Артур Радоминский</a>","CmRaAAAANQuzujzkI8GMwvmDqINMLjxrlssuAJ1-EUes61P2ho45swNB9-wmmop2CwzTFpPMmyGnMXglrhI7-eAXgHqRPCScehsOP32EkKx0J7FC4UV2ePVCfFHcdAbh7A4Yj0aXEhAAEhm9gPjt-xdTOq2UghMaGhQNDMyzi_bgYVdCakNxdizNj79ZUw","4032","ChIJJ6b4_0dEwokR3RI76Ea93dw","H2GH+3C New York","87G8H2GH+3C","","4","ChIJJ6b4_0dEwokR3RI76Ea93dw","park","point_of_interest","establishment","",""
"","","","southwest","40.57417397010728","-73.97266087989271","","","","","","","","","","","","","","","","","","",""
"Varick Street &, Laight St, New York, NY 10013, United States","40.72201099999999","-74.00610089999999","northeast","40.72324892989272","-74.00477122010727","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","1fe192401810dab368c985b0d11ce71984075d3a","Albert Capsouto Park","False","1458","<a href=""https://maps.google.com/maps/contrib/118149612380156302815/photos"">David Blunk, II</a>","CmRaAAAAC6egK9JCQ3F8cE963soZrX88iDxyheuAixy8SSSaM8QcnmXV0pCmHlPj0oXgP7OznImICg5CVZwgmElu5g55AElXtGEydvnq-9SJC5wuS83Fui9zABxo6JGd46m66pBcEhC6FsIKP5ly_PtW-93mucRNGhS83Td3HLzgRRxWv_-LPn8odJ68Yw","1458","ChIJcwaRMItZwokRcUerenHZUpo","PXCV+RH New York","87G7PXCV+RH","","4.7","ChIJcwaRMItZwokRcUerenHZUpo","park","point_of_interest","establishment","",""
"","","","southwest","40.72054927010728","-74.00747087989272","","","","","","","","","","","","","","","","","","",""
"Riverside, Dr To Broadway, New York, NY 10040, USA","40.8625608","-73.93129949999999","northeast","40.86391062989272","-73.92994967010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","3be27507240fd2843d3a9fbb6dde4b0f70b2b64d","Fort Tryon Park","True","3024","<a href=""https://maps.google.com/maps/contrib/103344323982989326838/photos"">Russell Stambaugh</a>","CmRaAAAAsINQx8kdbAD0MxcDYapEyAbdhE7u8UexRMHfYqrLIEARUePUMyNWy2PMcHozzuZMpjj8jInds70Wk_6UPUuWIc3J7pi4elLsrobF8TSh2B7NTfyii6bNx7UietcjgRU5EhBTkkks-wtUtxX9icPH-ppwGhRPsA0d587Gv9PjNdC1z4QR6YKmQQ","4032","ChIJTZ18cAH0wokR1HfVR86mzEA","V379+2F New York","87G8V379+2F","","4.7","ChIJTZ18cAH0wokR1HfVR86mzEA","park","point_of_interest","establishment","",""
"","","","southwest","40.86121097010728","-73.93264932989271","","","","","","","","","","","","","","","","","","",""
"3836, 157 Duane St, New York, NY 10013, United States","40.7171756","-74.0093751","northeast","40.71847367989272","-74.00806497010727","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","41704fcbf3deffe622421b122b212ba25c87a4b7","Duane Park","True","3024","<a href=""https://maps.google.com/maps/contrib/108356977782680383462/photos"">Duane May</a>","CmRaAAAAWxNTO5oHMzSt8xbzl4RBX5sz3jydae5VRPVW6sGZKXKDItnDPQNW5r0z-x24IvooaORvW2yamBjRE7XdWaAXWoAWLPbUK4j88G0CZ7VtRn6XdPYvxWmn3EpMdVum2tlSEhAzFhiuYmu8e-0I78yoHj-LGhQAXC6B7zOmgWSdDMY_oXH4y_rOEQ","4032","ChIJyyVUUx5awokR8hYrIfrOwhU","PX8R+V6 New York","87G7PX8R+V6","","4","ChIJyyVUUx5awokR8hYrIfrOwhU","park","point_of_interest","establishment","",""
"","","","southwest","40.71577402010728","-74.01076462989272","","","","","","","","","","","","","","","","","","",""
"New York, NY 10080, USA","40.7120887","-74.0162412","northeast","40.71343852989272","-74.01489137010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","ceb9622fdad895257707abdd4ac8a3c1030caa4b","Pumphouse Park","True","1920","<a href=""https://maps.google.com/maps/contrib/115463703222410395367/photos"">Mario La Mantia</a>","CmRaAAAA--dqVkztN1_hgU36exSx3wXFp8pMbjN6Q0i2GeEVI5_sJ-Mz8VQ0yplxXvWEq67uUn8YlNWZ0o4bKvoI0nHin0FT-9LzQbD42S7YcwIaxv6xpJbvMGTm_JNX_hpV161DEhDnjC3o5TbAK-cQawoSdK6mGhRou6h1BTu-kB9SQaFYmTkTb5-lXw","2560","ChIJQ7Dz7xpawokRZdJQSi7_yK0","PX6M+RG New York","87G7PX6M+RG","","4.4","ChIJQ7Dz7xpawokRZdJQSi7_yK0","park","point_of_interest","establishment","",""
"","","","southwest","40.71073887010728","-74.01759102989271","","","","","","","","","","","","","","","","","","",""
"200 Central Park West, New York, NY 10024, USA","40.78185089999999","-73.97476019999999","northeast","40.78318122989272","-73.9704423","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","f7975c0f3f80afbec1b75d9bea63f34729b6cb48","Theodore Roosevelt Park","False","2448","<a href=""https://maps.google.com/maps/contrib/117228090767717339673/photos"">郑亨达</a>","CmRaAAAAexsg89cIJMVATQfOmP6_VsJhrl4bm1EVrflYCR2xC71S_YpwJLeoA3LrtSM8-JQ6lB0AfACAoHccloFp4Sm5RbOHtN6XSsubbbmeYSS_njhJFwGV9QknLnfkNiQDnB8eEhAOIsfm0T9cl4eojoNhDdvnGhRY8yG7DnZvF_c-Lz0FbqeFCWKTJw","3264","ChIJv8mWqY9YwokRIzh7-8yBA14","Q2JG+P3 New York","87G8Q2JG+P3","","4.6","ChIJv8mWqY9YwokRIzh7-8yBA14","park","point_of_interest","establishment","",""
"","","","southwest","40.78048157010727","-73.97619949999999","","","","","","","","","","","","","","","","","","",""
"6316, Mt Morris Park W, New York, NY 10027, United States","40.8044257","-73.9437629","northeast","40.80838635000001","-73.93861340000001","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","14a6e204f19e3b6235c88535f89afb25a0a16d2c","Marcus Garvey Park","True","1800","<a href=""https://maps.google.com/maps/contrib/107730330789332981724/photos"">A Google User</a>","CmRaAAAA54VRd6-rVJ4fHZmRZ7H4pyKR45cbnJTIRigbVVcI4fhAdR2lQbUE3dbbQckYbsETe5X8NdIb6-MwpCb3vH7enwtwS8dESGcpaiE_H2qH5u_f69bWdTs7Bfu2ekFni-ZpEhBzUsZwl3QwloJDn-M-QppGGhT2Uu1PcdfSZ0PAc5h0VsHKUWCVqA","2704","ChIJHa6lPAz2wokRlRyxNExaJbQ","R334+QF New York","87G8R334+QF","","4.1","ChIJHa6lPAz2wokRlRyxNExaJbQ","park","point_of_interest","establishment","",""
"","","","southwest","40.80055694999999","-73.9487594","","","","","","","","","","","","","","","","","","",""
"199 Chambers St, New York, NY 10007, USA","40.7169743","-74.011467","northeast","40.71816417989272","-74.01025037010727","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","a56a41de976c37aaa5c9400c8807df9c34266653","Washington Market Park","False","4032","<a href=""https://maps.google.com/maps/contrib/110388362443236433863/photos"">A Google User</a>","CmRaAAAAewYBJsV2etpHPRAnacP75aQ-90WjwXoALTxoOYpuJCTmJLF4wrepD_IXrLiIWnJVsabb57j71RZWHLrH5IYbix728ThIASIo_BFh06IEkYQY3_TT8qNsiTt3X1435eeYEhAsajbl4dXlfMJmiDHB6IULGhS7-wZ64BckItZMKWf8Wcrad7vzFQ","3024","ChIJ4zHNix5awokR7eEBmC26WSQ","PX8Q+QC New York","87G7PX8Q+QC","","4.4","ChIJ4zHNix5awokR7eEBmC26WSQ","park","point_of_interest","establishment","",""
"","","","southwest","40.71546452010728","-74.01295002989272","","","","","","","","","","","","","","","","","","",""
