"results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__permanently_closed","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__price_level","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__types__004","status"
"99 Gansevoort St, New York, NY 10014, USA","40.7395877","-74.0088629","northeast","40.74081427989272","-74.00790137010728","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","6a6e35a1c9265a5f2b68cb954ba2c06c8dc19093","Whitney Museum of American Art","","False","1365","<a href=""https://maps.google.com/maps/contrib/101701296179256596267/photos"">Michael Kang</a>","CmRaAAAAnQKhVcK-Vl8fpNyQpwIf6pgGI6MC-lig6smpxbYRW61gtxnTetHRHOIxoQN3nCtApmMjlcwJwF0q9g1iMEzOIfXkpWJMQVOFybJJeqbNlNXx9pt6IG9IDc5_Dn8ytFMREhD7oaiRkU4EccpcIs7UqXpTGhRuql7wC4e8c9773eJCxrvbvNgE6g","2048","ChIJN3MJ6pRYwokRiXg91flSP8Y","PXQR+RF New York","87G7PXQR+RF","","4.5","ChIJN3MJ6pRYwokRiXg91flSP8Y","museum","point_of_interest","establishment","",""
"","","","southwest","40.73811462010728","-74.01060102989273","","","","","","","","","","","","","","","","","","","",""
"150 W 17th St, New York, NY 10011, USA","40.7400671","-73.9977244","northeast","40.74150992989272","-73.99640827010728","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","3c44481e57f7b64872922bc9d9f0599188234aff","Rubin Museum of Art","","False","3024","<a href=""https://maps.google.com/maps/contrib/111950022485008180050/photos"">David Canela</a>","CmRaAAAAxNxZp5Ot_zFrZaX8BYphU16_UmfhNs1zy7CK8wc9utWgPSTJKww6PnG4RtMScMn6ubSwTfXOendgUGca5cN7sbUoEb0saeDWe2Xje1P-E5gqQZXX2D2PODkRUYpweoFiEhCzE0VjNP2gQQmI5_pyk25TGhQWP6mlWtnbHXV_YRN2_DosA0bN-Q","4032","ChIJD4QSVbxZwokRaFPDajZtIaI","P2R2+2W New York","87G8P2R2+2W","2","4.6","ChIJD4QSVbxZwokRaFPDajZtIaI","museum","point_of_interest","establishment","",""
"","","","southwest","40.73881027010728","-73.99910792989273","","","","","","","","","","","","","","","","","","","",""
"99 Schermerhorn St, Brooklyn, NY 11201, USA","40.6904663","-73.9899714","northeast","40.69181707989272","-73.98862102010729","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","1c9463006879557df9105b67616dfc41e51acb2f","New York Transit Museum","","False","2048","<a href=""https://maps.google.com/maps/contrib/109893824737052408310/photos"">Marcello Musumeci</a>","CmRaAAAAuirWaUK2dYewXKkzIW-o1FLmGwC7unCb1h0lwXE3v1E4lDPMz0aIgXJTi5YfiSInQFVeE9w7azbrWllVJGRvvxTNA34vk4xyFUpGK9noqT59xbthgkUrJ1sujo8Apj3MEhBIKwKglDA4UZUaKceZ5t26GhQH5uyJ9KVMlRXdgMUMRfsCPkYg2g","1536","ChIJdThqNVVawokRFk58UQOvtuM","M2R6+52 New York","87G8M2R6+52","2","4.6","ChIJdThqNVVawokRFk58UQOvtuM","museum","store","point_of_interest","establishment",""
"","","","southwest","40.68911742010727","-73.99132067989272","","","","","","","","","","","","","","","","","","","",""
"103 Orchard St, New York, NY 10002, USA","40.7187958","-73.99006969999999","northeast","40.72023837989272","-73.98863987010728","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","bf04c672d6730db2dc6a68816bbc53eb870c993a","Tenement Museum","","False","598","<a href=""https://maps.google.com/maps/contrib/113719639442868633401/photos"">Ashley Hughes</a>","CmRaAAAA5qOrfVBMiKPUqu-orqZ9JOae19vfEPwhI2Lo-XWDR6QiXjEjEAMu_kc8RYTWXcmR7W2UQ4CXYuyBu_SO8Nxi2Zj_IcRxR_ci2ypgW9crs9glS2yTTcusNHnQVWOvA4fZEhBLnOvK2AcUMAd87uMACcxjGhR9mJcOaduBxCWrnpODtFcLVjOYfA","900","ChIJ20bVJYdZwokRhI7esP3mYM0","P295+GX New York","87G8P295+GX","","4.6","ChIJ20bVJYdZwokRhI7esP3mYM0","museum","point_of_interest","establishment","",""
"","","","southwest","40.71753872010728","-73.99133952989271","","","","","","","","","","","","","","","","","","","",""
"1 E 70th St, New York, NY 10021, USA","40.771209","-73.96739909999999","northeast","40.77240572989272","-73.96604297010727","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","87e936eb75a829e0363d510c2060a6621f83f9c7","The Frick Collection","","False","3024","<a href=""https://maps.google.com/maps/contrib/103249646112598020474/photos"">Liduo Luo</a>","CmRaAAAAj5xGowL0TQaUap5ZJvSdQ30OWy5Qng8CDJ0A-_D9Ln1oBhJSUTEE0Y6qb96wP5UqOCyLX7DEhFwj27OK_jDXttP8F3jwdK8piANDiAyBrVnbF9mJlSAw2s1JIPkWAFmjEhB6pwd0RlXcvLPNFOsPi-p9GhQI913maaPYDOKU_cV1DgFF08y9iw","4032","ChIJHRH97uxYwokR6CBeDyn1jtg","Q2CM+F2 New York","87G8Q2CM+F2","2","4.6","ChIJHRH97uxYwokR6CBeDyn1jtg","museum","point_of_interest","establishment","",""
"","","","southwest","40.76970607010727","-73.96874262989272","","","","","","","","","","","","","","","","","","","",""
"200 Eastern Pkwy, Brooklyn, NY 11238, USA","40.6712062","-73.9636306","northeast","40.6729825","-73.9613173","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","50536f2341830cb033e6342fb2e123d88fb5262b","Brooklyn Museum","","True","3265","<a href=""https://maps.google.com/maps/contrib/108446119647018944491/photos"">Simon Bromberg</a>","CmRaAAAAfickQFwyHR0Lud5JrEL1sUrbsmamBz27v8Gnk2n_kT6BJdiAv1i80znktGPySEKwsHZ8U0Tu_GlOslKgH3gZpcOfpSOxsRx4-yL4TXWwb22j4bEHtFJCU_JJ1AFpOp2jEhAtSSpRIHwuwCRz-_grouPiGhSx7cCt5gzY98_jyAYUmgB6KM2x3Q","4898","ChIJyTmcRApbwokR-oXJRqpVI8Y","M2CP+FG New York","87G8M2CP+FG","","4.6","ChIJyTmcRApbwokR-oXJRqpVI8Y","museum","point_of_interest","establishment","",""
"","","","southwest","40.66878529999999","-73.9655441","","","","","","","","","","","","","","","","","","","",""
"180 Greenwich St, New York, NY 10007, USA","40.7114743","-74.0134432","northeast","40.71225617989272","-74.00964974999999","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","375f41aa9a1bff7c3766d2f5d80f21bd56487236","9/11 Memorial","","False","3072","<a href=""https://maps.google.com/maps/contrib/107600558887520643440/photos"">Audrey Teo</a>","CmRaAAAA6wNHAuhV-NOVraFsmPDXU8uMV5hu29QX57STopZe7hb-mIFmgf_w5HZyeYbInbLHi8KHTTHjvaw3swwRmmCaGuFrfNVnILR7iSQ49Nb4-UChsELEf2JsivFka4tDhWxlEhDjdTvKE6bqN3d_QEGhdz5fGhRF9fXnRZa7h90W1w2PhYJblipt5A","4608","ChIJRcvoOxpawokR7R4dQMXMMPQ","PX6P+HJ New York","87G7PX6P+HJ","","4.8","ChIJRcvoOxpawokR7R4dQMXMMPQ","park","point_of_interest","establishment","",""
"","","","southwest","40.70955652010728","-74.01589875000001","","","","","","","","","","","","","","","","","","","",""
"1048 5th Ave, New York, NY 10028, USA","40.781264","-73.9603267","northeast","40.78269692989272","-73.95889522010727","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","8b233f81d7007bf5f3ffe3d3c2b8397ebf24a4f3","Neue Galerie","","False","2448","<a href=""https://maps.google.com/maps/contrib/104263094961796771302/photos"">Patrick O'Leary</a>","CmRaAAAA4pAftga6BxWi7nMaf3viNv3yzNSb7Rif5bIa9q-zc_fpnQEgkqBTn4xf-HG-qcnrcUJL_K2FXmpgV-D_Hj-j2tMbdd57AWTsNljRuUS1cE_8D2sYsp5HjKi-6D6GQt3nEhCS3nX6lukji_IrH50MPASWGhRKTuO4KkIW1yYnzOqY7xUxRE2bkQ","3264","ChIJ01_9-ZdYwokRL2JrA28GJp8","","","3","4.5","ChIJ01_9-ZdYwokRL2JrA28GJp8","art_gallery","museum","point_of_interest","establishment",""
"","","","southwest","40.77999727010728","-73.96159487989271","","","","","","","","","","","","","","","","","","","",""
"2 E 91st St, New York, NY 10128, USA","40.7843958","-73.95787319999999","northeast","40.78559567989272","-73.95645302010729","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","892116964e6b56ed90b0021e93e89b8a5a0bd294","Cooper Hewitt Smithsonian Design Museum","","False","3036","<a href=""https://maps.google.com/maps/contrib/112393350849249003008/photos"">Amy Jane Larkin</a>","CmRaAAAA-lt9vlptd2HQ8UxE99PB5myWKY2QX2Czoq_16_3ShXkYLb6m3fOlQQfYRXdiGu_1ta4zs16oMPOBI095ghKYcyi4cGhr0NoPEhyEV4PFCKbxUCwByAOrWtw_KeDMS2DlEhC1bLfB_q52BScWrAzfG61MGhQcegHt3lfYourUbgQZjfeLSPqY0A","4048","ChIJsT8qSaJYwokR-m20OGJUKCA","Q2MR+QV New York","87G8Q2MR+QV","","4.5","ChIJsT8qSaJYwokR-m20OGJUKCA","museum","point_of_interest","establishment","",""
"","","","southwest","40.78289602010728","-73.95915267989274","","","","","","","","","","","","","","","","","","","",""
"225 Madison Ave, New York, NY 10016, USA","40.7492258","-73.9813971","northeast","40.75043277989272","-73.98018382010729","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","1b5b32c5d96bd02e586f1d2dfcef7ca9aa848373","The Morgan Library & Museum","","False","3024","<a href=""https://maps.google.com/maps/contrib/117030028974715342469/photos"">Roger Lafleur</a>","CmRaAAAAtuFsrpibB1-Y1eWinIFDm8_FGn487mTRusLCOAqaVwR1aHMFKRpzTaDujYMsfCPH_G7nFdaIQlN9Dkhk-4yTw6Vf3f_GcEXrosTjFmQrK55wxX2rDWVaVeaURi6tMObTEhDpAFVVcsNeLQnif3Wlcax_GhQJpV1g4XNTRIhDK5IedD7RUFcVZg","4032","ChIJ3453OAdZwokRja92OOKCugM","P2X9+MC New York","87G8P2X9+MC","2","4.7","ChIJ3453OAdZwokRja92OOKCugM","museum","point_of_interest","establishment","",""
"","","","southwest","40.74773312010728","-73.98288347989273","","","","","","","","","","","","","","","","","","","",""
"36 Battery Pl, New York, NY 10280, USA","40.7059752","-74.01857889999999","northeast","40.70736827989273","-74.01717252010727","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","54efe427bcab3624edf646abf40dfd7b8e2692e5","Museum of Jewish Heritage","","False","2592","<a href=""https://maps.google.com/maps/contrib/118146720072533968985/photos"">Fabio Vinuesa</a>","CmRaAAAAh5-ypxfqCZ7R0qKA0sUuP6jZxTMTNJSwUmQ0gBcmD1-XEHdUvo7Pwadobqt34Kv1CXHOTq_LsMeAs-RJDNfEQzLqvk64mDtB9BlwYYD642x2dbemWRgOr7EalKViJtsvEhCB3HcDrc9y7To5wvq60Hy0GhSi4utgcgUfiGGOvXK6VtHdV1h1lQ","3872","ChIJYTeZ_BFawokRe_SRVX_pKIs","PX4J+9H New York","87G7PX4J+9H","","4.5","ChIJYTeZ_BFawokRe_SRVX_pKIs","museum","point_of_interest","establishment","",""
"","","","southwest","40.70466862010728","-74.01987217989272","","","","","","","","","","","","","","","","","","","",""
"2 Columbus Cir, New York, NY 10019, USA","40.767395","-73.982034","northeast","40.76881937989272","-73.98066207010729","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","3c7c7abc978aaf5c71af2d6a91662d885d84faa1","Museum of Arts and Design","","False","3600","<a href=""https://maps.google.com/maps/contrib/114341174526911318246/photos"">The Museum of Arts and Design</a>","CmRaAAAAlBXOBQwj9QHubSjVj60Ao1D4ov8rqILOGcwhxCtJ0QzKbRTOJOg1nLqw0aLJ0cFIAa4WqXgNtZ1JqRIbwd9Vv4Ijxwnp8iMOrkTclviOHTT86SeLSObI81iD5m7LiG5VEhCJVWHrHPNC6wQCuqPzwXedGhSM1Qn93n2dHOEJ6oDosB_MKMlQcA","2400","ChIJgVtmM_ZYwokRcJJnebe5KX8","Q289+X5 New York","87G8Q289+X5","3","4.1","ChIJgVtmM_ZYwokRcJJnebe5KX8","museum","store","point_of_interest","establishment",""
"","","","southwest","40.76611972010728","-73.98336172989274","","","","","","","","","","","","","","","","","","","",""
"278 Spring St, New York, NY 10013, USA","40.7255619","-74.006935","northeast","40.72689642989271","-74.00546642010727","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","db0e9b3dd113a92a157474fe93d01d9c705ba2ee","New York City Fire Museum","","False","3024","<a href=""https://maps.google.com/maps/contrib/117136657736966148728/photos"">Sapna Mehta</a>","CmRaAAAAEp93uFCKbmGPpTEZVsQzoSkwy_LhOQITfD2FZ6yuzTagjQzIYKwOaDgzMRxVu-hh1BEGfniznrsJbh0Su2Lpr9s7rKeiXpNHMsNe4HGaOzgAI2rrMlWqLkMqDkVN0qHKEhAq7GVIGEzP5296pTMSHi6qGhTF_odeDs_3tTfcx5QXBAsfLpqQsQ","4032","ChIJsblxMfNZwokRBLOhQZRjwtE","PXGV+66 New York","87G7PXGV+66","","4.4","ChIJsblxMfNZwokRBLOhQZRjwtE","museum","store","point_of_interest","establishment",""
"","","","southwest","40.72419677010727","-74.00816607989272","","","","","","","","","","","","","","","","","","","",""
"99 Margaret Corbin Dr, New York, NY 10040, USA","40.8648628","-73.9317274","northeast","40.86883055","-73.92387369999999","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","8edf774a665aeb294a6d6cf8df4405f4824f7e4f","The Met Cloisters","","False","3265","<a href=""https://maps.google.com/maps/contrib/100211564638436183284/photos"">Paola Barja</a>","CmRaAAAAubqY8UR3fcZf7ttQaKhzIbGkNlNi6GSDb6ay1aGHwyJBqzsB9G7VVOpr5vvhcDnXuoFxfh61jANv2lB0r8qAleBudDRe5yM5DOs6fX-E_bdvtoV_ueWYIciiALWUeybbEhAuI0BVpRbSyVxVZV1f5shMGhQ2jjm9dkjFxOloDkD8i-d-8TDFMw","4898","ChIJK6bycAH0wokRrSnflfrnkZE","V379+W8 New York","87G8V379+W8","","4.7","ChIJK6bycAH0wokRrSnflfrnkZE","museum","point_of_interest","establishment","",""
"","","","southwest","40.85569635000001","-73.9374629","","","","","","","","","","","","","","","","","","","",""
"22-25 Jackson Ave, Long Island City, NY 11101, USA","40.7454901","-73.9473572","northeast","40.74676367989272","-73.9460507","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","885be5960597801e043f42ab0227719e7b075f47","MoMA PS1","","False","3024","<a href=""https://maps.google.com/maps/contrib/101599577754350913530/photos"">Charlotte Westenberg</a>","CmRaAAAAuGsByjbJ1aSGKXCxHQzNhIIGBvorNeeUD_jeTrQsaN65LaQ-6miB5Zy27lLiX115k1eCE8NhIjlkRyC0zhUDT5bgxqRgHhs463bLCHRW3Ir4qGmdgxeOomxSUcGSHRw1EhABj9XMzzsMYODydsZQA4AQGhR_gqX9pMiW4RxwTs5ZC1q0RqefWg","4032","ChIJwfbFiiNZwokRN8hnF940DbY","P3W3+53 New York","87G8P3W3+53","","4.4","ChIJwfbFiiNZwokRN8hnF940DbY","museum","point_of_interest","establishment","",""
"","","","southwest","40.74406402010728","-73.94889670000001","","","","","","","","","","","","","","","","","","","",""
"Pier 86, W 46th St, New York, NY 10036, USA","40.7645266","-73.99960759999999","northeast","40.76578527989272","-73.99790007010728","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","6bb43beb2047e4db91e332d24782460ccf8194c2","Intrepid Sea, Air & Space Museum","","False","2592","<a href=""https://maps.google.com/maps/contrib/101946200143232268052/photos"">manuel bonomo</a>","CmRaAAAA7r4NwcFSU2ucOF7WK9muK6ca9a1n5RC-BU_6jzrm6bzTiuG7IISgbhETLIQAXhSSC1OCHJOfAwu43NStq6_ckIxj6X0r2fYyVp_EtFLCBBi5XKBh-IXBUlmpfsnibWTBEhD20mslhFJy7a42aABmB15PGhQxIRo2bPt6v5hsGDBIRwyEYA4sUw","3872","ChIJnxlg1U5YwokR8T90UrZiIwI","Q272+R5 New York","87G8Q272+R5","","4.6","ChIJnxlg1U5YwokR8T90UrZiIwI","museum","point_of_interest","establishment","",""
"","","","southwest","40.76308562010728","-74.00059972989273","","","","","","","","","","","","","","","","","","","",""
"29 E 4th St, New York, NY 10003, USA","40.72766499999999","-73.99234","northeast","40.72893082989273","-73.99105802010727","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","ee8866585fceeed72afe573dd7b8a8e651755fd3","Merchant's House Museum","","False","2448","<a href=""https://maps.google.com/maps/contrib/110548923664525694597/photos"">tina hammersmark</a>","CmRaAAAAEzSKalnKfaFNQUN1pXka6ckC3admfTW8kTTzVRrhsn2bCN-AGi-geanQPrNevZohBur5q9ce3tx0VxkAxd_gbqisM_Rk10OCLDIGT0laWRJz5nby3A-TwUYkF4m6D5O8EhBn-DM2-YhCN2UpPJH-lnH8GhQFZY31xNLbNgiIdQOK4DgZiqo39A","3264","ChIJCWqa2ppZwokRj3c3kcIR9x4","P2H5+33 New York","87G8P2H5+33","","4.6","ChIJCWqa2ppZwokRj3c3kcIR9x4","museum","point_of_interest","establishment","",""
"","","","southwest","40.72623117010728","-73.99375767989272","","","","","","","","","","","","","","","","","","","",""
"215 Centre St, New York, NY 10013, USA","40.7194599","-73.9991797","northeast","40.72074382989273","-73.99768927010729","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","97d902c82d72a3b29c7c7ad2e562a832ca82aeec","Museum of Chinese in America","","False","1536","<a href=""https://maps.google.com/maps/contrib/107940185863834141395/photos"">RHN - The Reino Hornson Network</a>","CmRaAAAAH1LhbtMs8vJrU7PnJAsFAvvZ8rIeKXVpuu44S_EQWY0KLYOdhN_Kx8Rf7BQP6hF_oJepnEtq6A3xLIpb4YXhk-8VdGEue4-ahvASee0a8WSEnwxn0whSkIpjLF3bNxe_EhColSlkfBnkn0xVdknzVwPzGhSsKJFIN6LZF1E-CxikHIM8Tl6hVQ","2048","ChIJrd5vvolZwokRLR4z0Ui4KFs","P292+Q8 New York","87G8P292+Q8","","4.4","ChIJrd5vvolZwokRLR4z0Ui4KFs","museum","store","point_of_interest","establishment",""
"","","","southwest","40.71804417010728","-74.00038892989272","","","","","","","","","","","","","","","","","","","",""
